file	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
Cytisus_115_T1_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21753773	21753773	21753773	1	1	20041099	0.92127	2013580860	447192708	182312328	1384075824	447192708	0.31263	0.68737	0.710388	732.131825	744.465928	0.203535	0.203535	196.95154	0.012829	2.22894	0.987998	0.976138	0.969283	0.963154		0	0	0	4.000075	9.520342			NA
Cytisus_127_T2_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21657256	21657256	21657256	1	1	19909354	0.919293	2000292857	446534856	183392548	1370365453	446534856	0.314918	0.685082	0.708867	731.054808	744.746939	0.204141	0.204141	197.96824	0.014145	2.209932	0.985948	0.972538	0.965979	0.960011		0	0	0	3.835047	9.575806			NA
Cytisus_128_T3_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	19908319	19908319	19908319	1	1	18216932	0.915041	1830431544	424666020	176688893	1229076631	424666020	0.328532	0.671468	0.706182	695.25174	707.330402	0.211199	0.211199	205.744276	0.013816	2.217337	0.985583	0.970724	0.965128	0.959999		0	0	0	3.966866	9.258769			NA
Cytisus_131_T4_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27388097	27388097	27388097	1	1	24699888	0.901848	2479373739	591937571	244539427	1642896741	591937571	0.337374	0.662626	0.707656	969.104206	984.183312	0.21399	0.21399	211.722811	0.008882	1.945026	0.989404	0.975487	0.970853	0.968631		0	0	0	3.998318	6.404161			NA
Cytisus_132_T5_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	19313293	19313293	19313293	1	1	17372347	0.899502	1743421434	422354618	169507886	1151558930	422354618	0.339483	0.660517	0.713603	691.467575	702.762962	0.216521	0.216521	214.836767	0.008553	1.920117	0.989159	0.972235	0.968237	0.965338		0	0	0	3.598377	6.770276			NA
Cytisus_14_T6_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	7845138	7845138	7845138	1	1	6930028	0.883353	517043945	99950340	52607715	364485890	99950340	0.295058	0.704942	0.655163	163.635998	167.015677	0.169872	0.169872	171.431475	0.013158	1.653621	0.98471	0.97299	0.961831	0.948371		0	0	0	3.09857	6.484967			NA
Cytisus_16_T7_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	24311154	24311154	24311154	1	1	22562605	0.928076	2266731818	492861383	212985444	1560884991	492861383	0.311394	0.688606	0.698255	806.899347	819.652401	0.200723	0.200723	192.822803	0.010197	2.112506	0.985454	0.971238	0.965809	0.960875		0	0	0	3.59164	9.212036			NA
Cytisus_21_T8_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	6479462	6479462	6479462	1	1	5781869	0.892338	431371818	89489477	43848041	298034300	89489477	0.309101	0.690899	0.67115	146.509755	149.342794	0.18415	0.18415	183.972938	0.013487	1.678009	0.984411	0.969416	0.957061	0.939973		0	0	0	4.25389	5.381508			NA
Cytisus_244_T9_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21659092	21659092	21659092	1	1	19674744	0.908383	1974818489	482485703	187877849	1304454937	482485703	0.339456	0.660544	0.719737	789.912564	801.179257	0.220558	0.220558	216.66612	0.005263	2.028302	0.992332	0.980323	0.970651	0.966223		0	0	0	4.429996	6.509356			NA
Cytisus_76_T10_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	16309909	16309909	16309909	1	1	15138923	0.928204	1521207065	359192467	151534203	1010480395	359192467	0.335738	0.664262	0.703297	588.060207	598.368413	0.218049	0.218049	209.398048	0.013816	2.14469	0.984028	0.972223	0.965054	0.958505		0	0	0	3.700612	9.372926			NA
Cytisus_77_T11_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21287132	21287132	21287132	1	1	19294903	0.906412	1938610701	446334637	189289634	1302986430	446334637	0.327876	0.672124	0.702199	730.727015	742.763876	0.207597	0.207597	204.175547	0.010526	2.159197	0.985413	0.972632	0.965711	0.959646		0	0	0	3.518223	9.477518			NA
Cytisus_79_T12_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	19433104	19433104	19433104	1	1	18119200	0.932388	1820618954	402499271	173755310	1244364373	402499271	0.316516	0.683484	0.698475	658.960937	671.696901	0.20507	0.20507	196.055839	0.013487	2.118918	0.985659	0.973834	0.96589	0.959486		0	0	0	3.745713	9.301861			NA
Cytisus_80_T13_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18317047	18317047	18317047	1	1	16821341	0.918343	1689172185	379360811	156780008	1153031366	379360811	0.317399	0.682601	0.707577	621.079275	631.606588	0.205057	0.205057	199.164663	0.012171	2.170469	0.984808	0.972175	0.964353	0.956326		0	0	0	3.511748	9.740459			NA
Cytisus_87_T14_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	22409231	22409231	22409231	1	1	20540284	0.916599	2063810071	455365534	194040298	1414404239	455365534	0.314664	0.685336	0.701203	745.512155	759.76454	0.201193	0.201193	195.669967	0.014474	2.140182	0.983576	0.97291	0.966193	0.960246		0	0	0	3.97307	9.430719			NA
Cytisus_89_T15_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	14608497	14608497	14608497	1	1	13444893	0.920347	1350624641	322962055	125617191	902045395	322962055	0.332127	0.667873	0.719967	528.744755	538.958415	0.218889	0.218889	212.056004	0.013487	2.24566	0.984101	0.970976	0.963457	0.954717		0	0	0	4.209688	9.401725			NA
Cytisus_90_T16_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	19020414	19020414	19020414	1	1	17388670	0.914211	1746164142	395738272	174167530	1176258340	395738272	0.326376	0.673624	0.694392	647.892012	658.659379	0.206	0.206	200.981799	0.012829	2.188237	0.986418	0.971917	0.964061	0.955749		0	0	0	3.47772	9.735241			NA
Cytisus_92_T17_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21323397	21323397	21323397	1	1	19651067	0.921573	1974212954	447760558	184297976	1342154420	447760558	0.320157	0.679843	0.708416	733.061494	745.98211	0.207907	0.207907	201.134041	0.0125	2.246934	0.986678	0.974182	0.967917	0.961784		0	0	0	4.226436	9.116632			NA
Lathyrus_167_T18_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21020240	21020240	21020240	1	1	18864788	0.897458	1894297489	457276750	180193800	1256826939	457276750	0.336521	0.663479	0.71733	748.641146	758.432913	0.215387	0.215387	214.074372	0.002961	1.872674	0.994447	0.987486	0.985358	0.983394		0	0	0	4.150176	6.572159			NA
Lathyrus_171_T19_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	15202983	15202983	15202983	1	1	13713919	0.902054	1370302624	315006239	131476205	923820180	315006239	0.325828	0.674172	0.705529	515.719708	524.089277	0.205149	0.205149	203.86206	0.010855	2.008005	0.986297	0.96869	0.961885	0.957429		0	0	0	3.866608	7.528927			NA
Lathyrus_174_T20_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18589450	18589450	18589450	1	1	16613519	0.893707	1660181640	393312602	152198779	1114670259	393312602	0.328585	0.671415	0.720998	643.920771	654.221843	0.209484	0.209484	210.095136	0.010526	2.01299	0.988925	0.972612	0.964383	0.960916		0	0	0	4.244241	6.77499			NA
Lathyrus_273_T21_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	25539209	25539209	25539209	1	1	23569880	0.92289	2357187733	622177747	223574161	1511435825	622177747	0.358797	0.641203	0.73565	1018.612606	1036.733944	0.241205	0.241205	234.074467	0.015789	2.048881	0.986093	0.973518	0.970867	0.968371		0	0	0	4.964764	6.216057			NA
Lathyrus_275_T22_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	28724531	28724531	28724531	1	1	26408460	0.91937	2640871633	700240231	254124476	1686506926	700240231	0.361382	0.638618	0.733724	1146.414396	1165.760783	0.241364	0.241364	235.143788	0.013487	2.052396	0.984912	0.971854	0.968619	0.966574		0	0	0	4.562474	6.751911			NA
Lathyrus_280_T23_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	26719339	26719339	26719339	1	1	24457110	0.915334	2445612582	629271113	230744271	1585597198	629271113	0.351656	0.648344	0.731698	1030.225673	1046.146675	0.23318	0.23318	228.183311	0.011184	2.075688	0.98872	0.972826	0.968013	0.965497		0	0	0	4.792526	6.618295			NA
Lathyrus_281_T24_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	24153393	24153393	24153393	1	1	22282451	0.922539	2228788189	598751413	214121738	1415915038	598751413	0.364715	0.635285	0.736587	980.259644	996.942228	0.245441	0.245441	238.238253	0.011842	2.059798	0.986489	0.973131	0.969391	0.966614		0	0	0	4.847218	6.383593			NA
Lathyrus_282_T25_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18658630	18658630	18658630	1	1	16686593	0.89431	1676488190	458654848	167913433	1049919909	458654848	0.373739	0.626261	0.732011	750.897331	762.136726	0.24338	0.24338	242.615885	0.006908	1.924588	0.991451	0.985138	0.980981	0.977857		0	0	0	4.609224	6.345972			NA
Lathyrus_283_T26_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27084781	27084781	27084781	1	1	25059799	0.925235	2506607324	669792708	243556035	1593258581	669792708	0.364376	0.635624	0.733337	1096.566534	1114.41877	0.244846	0.244846	236.96699	0.013158	2.052337	0.986168	0.971683	0.968921	0.966726		0	0	0	4.776621	6.720104			NA
Lathyrus_N152_T27_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	15263388	15263388	15263388	1	1	13579052	0.889649	1357266624	331216656	127778167	898271801	331216656	0.338176	0.661824	0.721613	542.258965	552.23699	0.214852	0.214852	216.411702	0.015132	1.979344	0.985423	0.969924	0.964255	0.960542		0	0	0	4.074407	6.76838			NA
Lathyrus_N191_T28_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27084961	27084961	27084961	1	1	24065195	0.888508	2405688437	562047567	221590489	1622050381	562047567	0.325744	0.674256	0.717229	920.169099	934.741564	0.205458	0.205458	207.189353	0.009868	1.972029	0.989475	0.973288	0.965529	0.962592		0	0	0	4.357077	6.573966			NA
Lathyrus_N312_T29_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	20844630	20844630	20844630	1	1	19139211	0.918184	1913372995	465916488	179078223	1268378284	465916488	0.337098	0.662902	0.722357	762.785892	774.840253	0.221306	0.221306	215.944517	0.009868	2.028378	0.989669	0.974131	0.967183	0.961201		0	0	0	4.857385	6.105623			NA
L.corn._100_T30_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21915428	21915428	21915428	1	1	20191552	0.92134	2027921785	560006138	202104650	1265810997	560006138	0.375809	0.624191	0.734809	916.826926	930.410932	0.253001	0.253001	244.892412	0.007566	2.090811	0.990692	0.977894	0.97266	0.970115		0	0	0	5.009344	6.025148			NA
L.corn._101_T31_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	23699740	23699740	23699740	1	1	21470598	0.905942	2156210266	585763328	226100233	1344346705	585763328	0.376523	0.623477	0.721505	958.995902	972.697106	0.244713	0.244713	240.915538	0.00625	1.961083	0.992024	0.981824	0.976176	0.973301		0	0	0	3.851755	6.598779			NA
L.corn._102_T32_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	26195653	26195653	26195653	1	1	23930311	0.913522	2402803227	616447081	241039007	1545317139	616447081	0.356869	0.643131	0.7189	1009.230514	1022.94615	0.232994	0.232994	227.515682	0.003947	1.967204	0.993692	0.985754	0.982488	0.978993		0	0	0	4.76334	5.911986			NA
L.corn._113_T33_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	22689319	22689319	22689319	1	1	20803259	0.916875	2089663049	559134594	219867442	1310661013	559134594	0.372788	0.627212	0.717758	915.400058	928.30734	0.243991	0.243991	237.286943	0.006579	1.958454	0.991062	0.981839	0.97689	0.972758		0	0	0	4.419925	5.979257			NA
L.corn._114_T34_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	25259857	25259857	25259857	1	1	23110271	0.914901	2320723285	613625759	230960500	1476137026	613625759	0.363932	0.636068	0.72654	1004.611522	1019.260846	0.24052	0.24052	234.484405	0.007237	1.979147	0.992297	0.982468	0.977241	0.975211		0	0	0	4.931168	5.885701			NA
L.corn._239_T35_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	26839478	26839478	26839478	1	1	24760136	0.922527	2488320672	668886499	249014000	1570420173	668886499	0.368884	0.631116	0.728714	1095.082913	1109.68021	0.24675	0.24675	238.385494	0.002632	1.960566	0.994659	0.9874	0.983101	0.980365		0	0	0	5.198176	6.032489			NA
L.corn._243_T36_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27012912	27012912	27012912	1	1	24833473	0.919319	2495525685	625194180	238222162	1632109343	625194180	0.345986	0.654014	0.724094	1023.551028	1037.437293	0.229151	0.229151	222.170619	0.003618	1.931913	0.99369	0.984199	0.980987	0.978251		0	0	0	4.301751	6.686181			NA
L.corn._251_T37_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21524865	21524865	21524865	1	1	19469369	0.904506	1954874789	506831144	194948953	1253094692	506831144	0.35899	0.64101	0.722208	829.770262	841.243928	0.233132	0.233132	229.920709	0.004605	1.951842	0.991285	0.97927	0.972412	0.968709		0	0	0	4.033878	6.509874			NA
L.corn._286_T38_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21835834	21835834	21835834	1	1	19885613	0.910687	1997210704	527810282	201440019	1267960403	527810282	0.365134	0.634866	0.723771	864.11674	876.200042	0.239324	0.239324	234.362274	0.004934	1.947111	0.992474	0.98457	0.978669	0.974364		0	0	0	4.330501	6.313417			NA
L.corn._68_T39_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	27538740	27538740	27538740	1	1	24979101	0.907053	2507431778	585100195	234373700	1687957883	585100195	0.326818	0.673182	0.713995	957.910239	971.890916	0.210361	0.210361	206.935433	0.006908	1.854754	0.993021	0.98326	0.978776	0.975764		0	0	0	3.586746	6.483332			NA
L.corn._70_T40_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	16371106	16371106	16371106	1	1	14969338	0.914375	1502791131	358371751	142482883	1001936497	358371751	0.333283	0.666717	0.71552	586.716553	596.068926	0.216738	0.216738	211.479798	0.009211	1.904374	0.990537	0.978935	0.972586	0.969002		0	0	0	3.615044	7.018019			NA
L.corn._99_T41_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	24088619	24088619	24088619	1	1	21825240	0.906039	2190873844	520988865	201635887	1468249092	520988865	0.329834	0.670166	0.720967	852.948901	865.517232	0.214139	0.214139	210.884574	0.008882	1.893911	0.990813	0.981406	0.97656	0.97398		0	0	0	3.835599	6.328963			NA
L.ped._11_T42_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	30724652	30724652	30724652	1	1	27796698	0.904703	2791516136	688887115	266780067	1835848954	688887115	0.342347	0.657653	0.720844	1127.827381	1142.351487	0.221993	0.221993	218.847536	0.001645	1.932913	0.993717	0.986804	0.982655	0.98062		0	0	0	4.178281	6.631449			NA
L.ped._12_T43_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21338846	21338846	21338846	1	1	19079595	0.894125	1916331049	468956728	186613739	1260760582	468956728	0.342097	0.657903	0.715341	767.763291	778.631029	0.217591	0.217591	217.01811	0.004276	1.951456	0.992884	0.984416	0.979795	0.976198		0	0	0	4.262408	6.390451			NA
L.ped._64_T44_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	21943669	21943669	21943669	1	1	19731709	0.899198	1981589291	501245446	187947460	1292396385	501245446	0.347798	0.652202	0.727293	820.625508	832.321768	0.226162	0.226162	224.321312	0.003947	1.9912	0.992233	0.982388	0.976085	0.972322		0	0	0	4.109326	6.59447			NA
L.ped._74_T45_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	22330153	22330153	22330153	1	1	20102539	0.900242	2019226973	528197032	203580220	1287449721	528197032	0.362405	0.637595	0.7218	864.749917	877.556243	0.234198	0.234198	231.976803	0.005592	1.963213	0.991453	0.983776	0.980676	0.978162		0	0	0	4.900769	6.10247			NA
L.ped._81_T46_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	28759378	28759378	28759378	1	1	24898117	0.865739	2500658320	643156001	238966139	1618536180	643156001	0.352756	0.647244	0.729101	1052.957637	1068.833179	0.221419	0.221419	228.084468	0.006908	1.990378	0.992667	0.982432	0.978402	0.975772		0	0	0	4.655491	6.171113			NA
L.ped._82_T47_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	26175645	26175645	26175645	1	1	23712907	0.905915	2381221038	612040810	226566651	1542613577	612040810	0.352175	0.647825	0.72983	1002.016686	1015.774221	0.231506	0.231506	227.936782	0.004605	2.039707	0.992627	0.982183	0.977832	0.975337		0	0	0	6.7044	4.969871			NA
L.ped._83_T48_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	19712514	19712514	19712514	1	1	17799548	0.902957	1788296410	483793714	186311316	1118191380	483793714	0.374717	0.625283	0.721967	792.054004	804.143061	0.242995	0.242995	239.913374	0.005921	1.937694	0.990436	0.980476	0.97682	0.974575		0	0	0	4.140087	6.376309			NA
L.ped._84_T49_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18212795	18212795	18212795	1	1	16148687	0.886667	1621086389	443303261	150597889	1027185239	443303261	0.36636	0.63364	0.746426	725.764128	736.690838	0.240992	0.240992	242.509362	0.006908	2.199077	0.990265	0.981208	0.97844	0.97605		0	0	0	8.517111	4.574226			NA
L.ped._N132_T50_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	17067354	17067354	17067354	1	1	15127632	0.886349	1518980578	410556783	148993160	959430635	410556783	0.368372	0.631628	0.733727	672.152478	681.444662	0.238169	0.238169	239.69267	0.004276	1.952564	0.990606	0.981857	0.978568	0.975192		0	0	0	4.191167	6.409836			NA
L.ped._N141_T51_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	18646797	18646797	18646797	1	1	11889475	0.637615	1191643473	247180112	115306034	829157327	247180112	0.30419	0.69581	0.681902	404.676604	411.032476	0.131247	0.131247	183.950481	0.007895	1.859875	0.98904	0.978084	0.973979	0.970408		0	0	0	3.426803	6.358277			NA
L.ped._N153_T52_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	9102948	9102948	9102948	1	1	7505864	0.824553	752744862	166873852	78616383	507254627	166873852	0.326127	0.673873	0.679758	273.201364	278.355867	0.181503	0.181503	196.595799	0.012829	1.855706	0.985502	0.972849	0.967841	0.959991		0	0	0	3.43047	6.625768			NA
L.ped._N163_T53_R1s1a1_NoDup.HsMetrics	CaptureTargets	541675471	610809	610809	1	6121216	6121216	6121216	1	1	4388846	0.716989	439981804	104458717	44295956	291227131	104458717	0.338093	0.661907	0.702221	171.016991	174.287568	0.168961	0.168961	210.544409	0.014803	1.915248	0.985033	0.972619	0.959698	0.941751		0	0	0	4.15949	6.349769			NA
